name,description,category,price,brand,quantity
Logitech G Pro,Wireless gaming mouse,Electronics,12000,Logitech,50
Aeron Chair,Ergonomic office chair,Furniture,140000,Herman Miller,10
Keychron K2,Mechanical keyboard 75 percent,Electronics,8000,Keychron,30
MacBook Air M2,Lightweight powerful laptop,Electronics,115000,Apple,15
Standing Desk,Electric height adjustable desk,Furniture,35000,Fully,20
Sony WH-1000XM5,Noise canceling headphones,Electronics,28000,Sony,25
Monitor Arm,Gas spring dual monitor mount,Office,5000,AmazonBasics,40
Yoga Mat,Non slip eco friendly mat,Fitness,2000,Lululemon,100
Dumbbell Set,Adjustable weight set 20kg,Fitness,15000,Bowflex,12
Coffee Grinder,Conical burr electric grinder,Kitchen,18000,Baratza,8
Aeropress,Manual coffee brewer,Kitchen,4000,Aeropress,60
Kindle Paperwhite,Waterproof e-reader 16GB,Electronics,14000,Amazon,45
Hydro Flask,Insulated water bottle 32oz,Kitchen,3500,Hydro Flask,80
Desk Mat,Large felt desk pad gray,Office,1500,DeltaHub,55
LED Strip Lights,Smart RGB lighting 5m,Electronics,2500,Govee,200
Instant Pot,Multi functional pressure cooker,Kitchen,12000,Instant Brand,18
Gaming Chair,Breathable fabric racing chair,Furniture,25000,Secretlab,7
Electric Kettle,Gooseneck temperature control,Kitchen,9000,Fellow,14
Power Bank,20000mAh fast charging,Electronics,4500,Anker,90
Webcam C920,Full HD 1080p video calling,Electronics,7000,Logitech,35